brooklyn_rank,start_station_id,start_station_name,lat,lon,capacity,trip_count,avg_duration_min,member_pct,trips_per_dock
586,3975.02,Albany Ave & Park Pl,40.67297,-73.93896,20,771,9.62,88.3,38.6
587,3648.08,Kingston Ave & E New York Ave,40.66219,-73.94293,21,770,11.46,87.5,36.7
588,5106.04,Greene Ave & Grandview Ave,40.709697,-73.907856,17,769,10.11,86.9,45.2
589,3739.06,4 Ave & 17 St,40.665507,-73.993037,23,762,11.77,88.6,33.1
589,2898.01,Cortelyou Rd & Stratford Rd,40.63966,-73.96807,21,762,17.81,86.6,36.3
591,3736.03,Bedford Ave & Montgomery St,40.665816,-73.956934,27,756,11.23,84.4,28.0
592,4568.01,Van Buren St & Broadway,40.692,-73.92617,24,753,13.33,79.5,31.4
593,4947.04,Central Ave & Flushing Ave,40.702831,-73.9333,21,752,10.73,83.2,35.8
594,3768.02,Crown St & Rogers Ave,40.66639,-73.95346,21,750,11.79,87.3,35.7
595,4672.01,Menahan St & Central Ave,40.69543,-73.9196,25,748,11.3,80.2,29.9
595,5362.08,Withers St & Kingsland Ave,40.71773,-73.94051,18,748,10.24,84.9,41.6
597,4172.04,Herkimer St & New York Ave,40.67955,-73.94709,25,747,12.47,82.2,29.9
598,4491.09,Monroe St & Patchen Ave,40.68814,-73.92693,20,743,12.18,77.9,37.2
599,4591.04,Central Ave & Weirfield St,40.69055,-73.91181,21,742,11.35,77.1,35.3
600,5115.05,Willoughby Ave & Onderdonk Ave,40.7098,-73.91727,27,741,10.21,82.3,27.4
601,3125.09,Ocean Pkwy & Church Ave,40.644718957635746,-73.97451460361481,25,736,15.82,89.9,29.4
601,3520.01,Flatbush Ave & Fenimore St,40.65798,-73.96051,24,736,13.42,80.2,30.7
603,4695.04,Irving Ave & Halsey St,40.69467,-73.90663,19,729,11.2,75.4,38.4
604,3280.04,Fort Hamilton Pkwy & E 2 St,40.648005,-73.979342,19,721,12.29,88.3,37.9
604,4965.01,Lorimer St & Broadway,40.70411791,-73.94818595,29,721,11.53,79.8,24.9
