geoid,borough,centroid_lat,centroid_lon,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,has_citibike,coverage_status
36005004100,Bronx,40.811385570641775,-73.9194099669585,6583.0,27328.0,64.6,63.5,1.13,1,Covered
36005008300,Bronx,40.81367782260841,-73.90184002901056,6564.0,50920.0,69.2,60.8,0.0,1,Covered
36005005100,Bronx,40.81320616507097,-73.92756745336351,6492.0,22850.0,85.7,59.2,0.0,1,Covered
36005024100,Bronx,40.85314711983823,-73.90618629338066,6473.0,45425.0,80.6,72.0,1.21,1,Covered
36005014500,Bronx,40.83151388796151,-73.90702590875281,6425.0,27352.0,88.8,66.2,0.0,1,Covered
36005017300,Bronx,40.826295987818824,-73.91652268256561,6411.0,17446.0,75.7,78.6,0.0,1,Covered
36005037300,Bronx,40.84867332058229,-73.89014148105993,6404.0,50232.0,75.4,60.4,0.0,1,Covered
36005037900,Bronx,40.85157425888255,-73.89877758611594,6374.0,35431.0,75.6,65.1,0.0,1,Covered
36005041900,Bronx,40.876855935730305,-73.8816837362421,6320.0,49667.0,66.9,56.6,0.0,1,Covered
36005018502,Bronx,40.8263118867157,-73.90597769573026,6314.0,21635.0,88.0,54.9,1.13,1,Covered
36005021100,Bronx,40.840397664364644,-73.92350766066401,6268.0,42077.0,72.1,55.4,0.17,1,Covered
36005003900,Bronx,40.80972167380296,-73.92142647300663,6227.0,20640.0,71.0,59.1,0.0,1,Covered
36005011900,Bronx,40.82327378377378,-73.88957203292827,6159.0,34335.0,76.5,60.7,1.93,1,Covered
36005022102,Bronx,40.83765861641016,-73.91609563989735,6143.0,50051.0,82.4,72.9,0.0,1,Covered
36005017500,Bronx,40.83082255848836,-73.91365113602455,6116.0,26463.0,85.2,69.1,0.0,1,Covered
36005013300,Bronx,40.82282253454231,-73.90348491329982,6038.0,34055.0,69.4,42.3,0.0,1,Covered
36005025300,Bronx,40.86100688336787,-73.90455490545207,6014.0,49906.0,72.5,65.4,3.47,1,Covered
36005021302,Bronx,40.843048505105095,-73.92037982516656,5947.0,23639.0,85.1,64.0,0.0,1,Covered
